online_order,book_table,rate,votes,approx_cost_for_two_people,restaurant_type,location,has_phone
1,0,3.8,26,400.0,Delivery,BTM,1
1,1,4.7,4657,1300.0,Desserts,Brigade Road,1
0,0,3.8,148,550.0,Delivery,Basavanagudi,1
0,0,3.3,5,200.0,Dine-out,Jayanagar,1
0,0,3.7,0,100.0,Delivery,Church Street,1
1,0,4.2,249,500.0,Delivery,BTM,1
1,0,3.0,61,650.0,Delivery,JP Nagar,1
0,0,4.6,2259,1100.0,Dine-out,Brigade Road,1
0,0,4.0,0,800.0,Desserts,Koramangala 4th Block,1
1,0,4.0,30,500.0,Desserts,BTM,1
1,1,3.8,189,800.0,Delivery,HSR,1
1,0,2.9,7,400.0,Cafes,BTM,1
1,0,3.4,9,350.0,Dine-out,Malleshwaram,1
1,0,3.9,388,650.0,Delivery,Banashankari,1
1,1,4.6,2906,600.0,Cafes,Marathahalli,1
0,0,3.7,24,100.0,Desserts,Residency Road,1
0,0,3.8,210,500.0,Delivery,Marathahalli,1
1,0,3.9,157,450.0,Delivery,Brigade Road,1
1,0,2.5,22,1000.0,Dine-out,Lavelle Road,1
1,0,3.3,584,600.0,Delivery,Old Airport Road,1
1,0,3.7,0,200.0,Delivery,Rajajinagar,1
1,0,3.6,88,400.0,Dine-out,Electronic City,1
0,0,4.5,2800,1200.0,Dine-out,JP Nagar,1
1,0,3.8,351,300.0,Delivery,Koramangala 6th Block,1
1,0,3.0,0,1500.0,Delivery,Koramangala 6th Block,1
0,0,2.6,56,500.0,Delivery,BTM,1
1,0,3.5,10,200.0,Delivery,Koramangala 5th Block,1
1,0,3.4,122,600.0,Dine-out,Lavelle Road,1
0,0,3.6,39,400.0,Delivery,Koramangala 6th Block,1
1,0,3.2,129,400.0,Delivery,Old Airport Road,1
0,0,3.2,5,200.0,Dine-out,Whitefield,1
0,0,3.7,43,700.0,Dine-out,Banashankari,1
0,0,1.5,0,500.0,Delivery,Bellandur,1
1,0,3.3,211,550.0,Delivery,Electronic City,1
0,1,4.3,595,2500.0,Pubs and bars,Brigade Road,1
1,0,3.9,64,250.0,Desserts,Brigade Road,1
0,0,3.2,8,600.0,Drinks & nightlife,Old Airport Road,1
1,0,3.2,68,750.0,Delivery,Old Airport Road,1
1,0,3.1,46,700.0,Delivery,BTM,1
1,0,3.8,36,500.0,Desserts,Sarjapur Road,1
1,0,3.7,156,300.0,Delivery,Old Airport Road,1
1,0,3.8,18,250.0,Delivery,Malleshwaram,1
1,0,2.6,64,400.0,Desserts,Electronic City,1
1,1,4.2,982,1000.0,Delivery,Church Street,1
0,0,3.8,167,650.0,Dine-out,Kammanahalli,1
1,1,3.5,27,700.0,Delivery,HSR,1
0,1,4.4,375,1000.0,Drinks & nightlife,Koramangala 6th Block,1
0,1,3.9,1389,1400.0,Buffet,Koramangala 4th Block,1
1,0,3.9,38,250.0,Delivery,Jayanagar,1
1,1,4.5,2949,1300.0,Delivery,Brookefield,1
1,1,4.0,209,800.0,Cafes,Indiranagar,1
0,0,2.9,25,200.0,Desserts,Basavanagudi,1
1,0,3.3,12,300.0,Delivery,Basavanagudi,1
0,0,3.5,10,350.0,Delivery,Electronic City,1
1,1,4.4,677,1500.0,Dine-out,BTM,1
1,0,4.4,7210,600.0,Delivery,BTM,1
0,0,4.1,724,300.0,Delivery,Koramangala 5th Block,1
0,0,3.9,194,400.0,Delivery,Koramangala 7th Block,1
0,0,3.2,5,150.0,Dine-out,Frazer Town,1
1,0,4.2,578,600.0,Dine-out,New BEL Road,1
1,0,4.3,790,1000.0,Delivery,HSR,1
0,1,4.3,164,3000.0,Dine-out,Brigade Road,1
1,0,4.3,894,600.0,Delivery,Bellandur,1
1,0,3.0,13,300.0,Delivery,Electronic City,1
0,0,3.0,120,1000.0,Buffet,Bellandur,1
1,1,4.2,2272,1400.0,Delivery,Church Street,1
1,0,3.0,40,200.0,Delivery,Lavelle Road,1
1,0,3.9,34,300.0,Delivery,Koramangala 7th Block,1
1,0,3.5,15,300.0,Delivery,New BEL Road,1
1,0,4.0,2692,750.0,Delivery,Frazer Town,1
1,0,3.4,589,600.0,Dine-out,Malleshwaram,1
1,0,3.5,0,250.0,Delivery,Brookefield,0
1,0,3.4,11,800.0,Delivery,Banashankari,1
0,0,3.6,20,100.0,Dine-out,JP Nagar,1
1,0,3.8,147,400.0,Delivery,Whitefield,1
0,0,3.6,43,1700.0,Drinks & nightlife,Brigade Road,1
0,1,4.1,786,1500.0,Dine-out,Koramangala 7th Block,1
0,1,4.5,1932,1400.0,Dine-out,BTM,1
1,0,3.7,115,550.0,Dine-out,JP Nagar,1
1,0,3.7,36,400.0,Dine-out,Bellandur,1
0,0,4.0,0,350.0,Dine-out,Old Airport Road,1
0,1,4.0,1701,1000.0,Cafes,Brigade Road,1
0,0,4.0,949,1100.0,Drinks & nightlife,Church Street,1
1,0,4.2,510,800.0,Desserts,Sarjapur Road,1
0,0,3.7,50,550.0,Dine-out,Residency Road,1
0,0,3.6,15,300.0,Delivery,Koramangala 6th Block,1
0,0,4.0,40,400.0,Dine-out,Koramangala 7th Block,1
1,0,3.1,206,600.0,Dine-out,HSR,1
1,0,3.9,238,800.0,Delivery,Brigade Road,1
1,0,4.0,310,750.0,Delivery,BTM,1
0,0,3.5,10,350.0,Dine-out,Electronic City,1
1,0,3.7,132,400.0,Delivery,JP Nagar,1
1,0,3.7,162,400.0,Delivery,Rajajinagar,1
0,0,3.8,62,150.0,Delivery,Koramangala 4th Block,1
0,0,2.9,59,600.0,Cafes,Marathahalli,1
0,0,3.7,20,600.0,Delivery,Indiranagar,1
1,0,3.6,18,300.0,Dine-out,Basavanagudi,1
0,1,4.3,457,3000.0,Dine-out,Residency Road,1
1,0,3.1,59,400.0,Dine-out,Bannerghatta Road,1
1,0,3.8,23,150.0,Delivery,BTM,1
1,0,3.0,8,500.0,Delivery,Marathahalli,1
1,0,3.7,34,200.0,Dine-out,Koramangala 7th Block,1
1,0,3.2,154,300.0,Delivery,Banashankari,1
1,0,3.6,176,400.0,Delivery,Koramangala 5th Block,1
1,0,3.7,283,800.0,Dine-out,Jayanagar,1
1,0,4.1,414,300.0,Delivery,BTM,1
1,0,4.1,49,600.0,Delivery,Marathahalli,1
1,0,3.6,90,500.0,Dine-out,Koramangala 6th Block,1
0,0,4.5,291,400.0,Desserts,Lavelle Road,1
0,0,3.5,8,600.0,Buffet,Marathahalli,1
0,0,3.9,78,650.0,Delivery,Kalyan Nagar,1
0,0,2.0,0,200.0,Dine-out,Kammanahalli,1
0,0,4.5,292,400.0,Desserts,Brigade Road,1
1,0,3.6,115,400.0,Delivery,Koramangala 7th Block,1
0,0,3.8,42,700.0,Delivery,Banashankari,1
1,0,3.7,31,400.0,Delivery,Koramangala 5th Block,1
1,0,3.0,57,650.0,Dine-out,Bannerghatta Road,1
0,0,3.6,14,1500.0,Drinks & nightlife,Frazer Town,1
1,0,3.4,55,500.0,Delivery,Jayanagar,1
1,0,5.0,0,250.0,Dine-out,Koramangala 7th Block,1
1,0,3.4,52,600.0,Dine-out,Sarjapur Road,1
0,0,3.4,5,250.0,Delivery,Kammanahalli,1
1,0,3.1,112,1000.0,Delivery,Frazer Town,1
1,0,3.8,94,600.0,Delivery,Koramangala 4th Block,1
1,0,3.1,24,150.0,Dine-out,Church Street,1
1,0,3.5,41,400.0,Delivery,Jayanagar,1
0,0,4.1,522,550.0,Dine-out,JP Nagar,1
1,0,4.0,199,300.0,Dine-out,JP Nagar,1
0,0,3.9,952,1100.0,Drinks & nightlife,MG Road,1
0,0,3.8,18,850.0,Desserts,Koramangala 4th Block,1
1,0,5.0,0,250.0,Desserts,Kalyan Nagar,1
1,0,3.7,329,500.0,Delivery,Koramangala 6th Block,1
0,0,4.2,1282,800.0,Delivery,New BEL Road,1
0,1,4.5,523,2500.0,Dine-out,Whitefield,1
0,1,3.8,176,1350.0,Buffet,Jayanagar,1
1,0,3.2,42,350.0,Delivery,BTM,1
1,1,4.1,1827,1100.0,Delivery,Indiranagar,1
1,0,4.0,0,200.0,Dine-out,Bellandur,1
1,0,4.0,0,200.0,Delivery,Koramangala 4th Block,1
1,0,4.1,306,600.0,Dine-out,Koramangala 6th Block,1
0,0,1.0,0,150.0,Delivery,Koramangala 5th Block,1
1,0,3.1,5,500.0,Delivery,Electronic City,1
1,0,3.2,4,100.0,Delivery,Koramangala 7th Block,1
1,1,4.3,3130,1500.0,Dine-out,Church Street,1
1,0,3.2,6,400.0,Delivery,Lavelle Road,1
1,0,3.7,48,350.0,Delivery,BTM,1
0,0,4.0,93,2000.0,Drinks & nightlife,Brigade Road,1
1,0,4.1,205,250.0,Dine-out,Koramangala 5th Block,1
0,0,2.0,0,300.0,Delivery,Bellandur,1
1,0,3.7,95,400.0,Delivery,New BEL Road,1
1,0,3.9,62,150.0,Delivery,Residency Road,1
1,0,3.4,6,200.0,Delivery,Koramangala 6th Block,1
1,0,3.5,12,650.0,Dine-out,Residency Road,1
1,0,3.6,31,500.0,Pubs and bars,Sarjapur Road,1
0,0,4.3,317,300.0,Delivery,Koramangala 6th Block,1
1,0,3.2,9,300.0,Dine-out,Frazer Town,1
1,0,3.9,187,250.0,Dine-out,Indiranagar,1
1,0,3.8,69,500.0,Delivery,Brigade Road,1
1,0,3.9,47,400.0,Delivery,Koramangala 4th Block,1
1,0,4.1,163,500.0,Delivery,Basavanagudi,1
1,0,3.9,200,400.0,Delivery,Church Street,1
1,0,3.1,54,500.0,Delivery,HSR,1
1,0,3.7,123,400.0,Delivery,Brigade Road,1
0,0,3.9,83,650.0,Delivery,Malleshwaram,1
0,0,4.2,142,500.0,Delivery,Frazer Town,1
1,0,3.9,49,400.0,Dine-out,Koramangala 7th Block,1
1,0,4.3,5344,600.0,Delivery,MG Road,1
1,0,4.0,871,400.0,Delivery,MG Road,1
0,0,3.7,0,200.0,Delivery,Koramangala 7th Block,1
1,0,4.6,409,1000.0,Delivery,JP Nagar,1
1,0,4.3,379,400.0,Desserts,Old Airport Road,1
0,0,3.0,5,500.0,Delivery,Brookefield,1
0,0,3.5,8,250.0,Dine-out,Koramangala 4th Block,1
